,企业名称,是否违约,企业种类,WOE
0,***电器销售有限公司,0,体力型第三产业,0.0745888569910726
1,***技术有限责任公司,0,脑力型第三产业,-0.00445435034938042
2,***电子(中国)有限公司***分公司,0,第二产业,0.0447358938413913
3,***发展有限责任公司,0,脑力型第三产业,-0.00445435034938042
4,***供应链管理有限公司,0,脑力型第三产业,-0.00445435034938042
5,***装饰设计工程有限公司,0,脑力型第三产业,-0.00445435034938042
6,***家电有限公司***分公司,0,第二产业,0.0447358938413913
7,***科学研究院有限公司,0,脑力型第三产业,-0.00445435034938042
8,***生活用品服务有限公司***分公司,0,第二产业,0.0447358938413913
9,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
10,***建设工程有限公司,0,第二产业,0.0447358938413913
11,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
12,***汽车贸易有限公司,0,体力型第三产业,0.0745888569910726
13,个体经营E14,0,体力型第三产业,0.0745888569910726
14,***劳务有限公司,0,体力型第三产业,0.0745888569910726
15,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
16,***消防工程有限公司,0,第二产业,0.0447358938413913
17,***消防工程有限责任公司,0,第二产业,0.0447358938413913
18,***科技有限公司,0,脑力型第三产业,-0.00445435034938042
19,***贸易有限公司,0,体力型第三产业,0.0745888569910726
20,***建设工程有限公司,0,第二产业,0.0447358938413913
21,***物流有限公司,0,体力型第三产业,0.0745888569910726
22,***贸易有限公司,0,体力型第三产业,0.0745888569910726
23,***建筑工程有限公司,0,第二产业,0.0447358938413913
24,***通讯设备有限公司,0,第二产业,0.0447358938413913
25,***金属材料有限公司,0,第二产业,0.0447358938413913
26,***农业开发有限公司,0,第一产业,-inf
27,***景观工程有限公司,0,第二产业,0.0447358938413913
28,***建筑劳务有限公司,1,体力型第三产业,0.0745888569910726
29,***建筑工程有限公司,0,第二产业,0.0447358938413913
30,***食品有限公司,0,第二产业,0.0447358938413913
31,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
32,***园林有限责任公司,0,第一产业,-inf
33,***建设工程有限公司,0,第二产业,0.0447358938413913
34,***商贸有限公司,0,体力型第三产业,0.0745888569910726
35,***超硬材料有限公司,1,第二产业,0.0447358938413913
